FB	rho	time	Y	U	W	C
1	0.13125	5309.393080278751	0.791391011260735	0.4520429021326207	5.832660864167666	0.19758790049413294	NaN
1	0.13125	18272.87026875581	0.7913910112607443	0.4520429021326208	5.8326608641677335	0.19758790049413535	NaN
1	0.13125	95500.0	0.7913910112607438	0.45204290213262077	5.832660864167731	0.19758790049413527	NaN
1	0.13125	Inf	0.7913910112607438	0.45204290213262077	5.832660864167731	0.19758790049413527	NaN
0	0.125	0.0	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	9.999999999999999e-5	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	0.0010999999999999998	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	0.011099999999999997	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	0.11109999999999996	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	1.1110999999999995	0.7908794306332368	0.4298433616428695	6.130199215869846	0.19746893274055585	NaN
0	0.125	11.111099999999993	0.790879430633238	0.4298433616428695	6.130199215869846	0.1974689327405539	NaN
0	0.125	29.014254038436356	0.7908796493103164	0.42984336164288794	6.130199215869864	0.19746893271759283	NaN
0	0.125	33.212237001028214	0.7908795239722562	0.42984336164287185	6.130199215869848	0.19746893273774765	NaN
0	0.125	37.062114004322765	0.7908794443324182	0.4298433616428699	6.130199215869847	0.19746893274014712	NaN
0	0.125	41.23810698925401	0.790879436093511	0.42984336164286957	6.130199215869847	0.1974689327405053	NaN
0	0.125	45.692811995357495	0.7908794357588883	0.42984336164286946	6.130199215869847	0.1974689327405504	NaN
0	0.125	50.29819379142573	0.7908794381653675	0.42984336164286946	6.130199215869847	0.19746893274055535	NaN
0	0.125	54.90781639912622	0.7908794418400834	0.42984336164286946	6.130199215869847	0.1974689327405558	NaN
0	0.125	59.45253298357056	0.7908794444030601	0.42984336164286946	6.130199215869847	0.19746893274055585	NaN
0	0.125	63.93566014559131	0.7908794447124042	0.42984336164286946	6.130199215869847	0.19746893274055585	NaN
0	0.125	68.3893619239823	0.790879443809587	0.42984336164286946	6.130199215869847	0.19746893274055585	NaN
0	0.125	72.8415170131851	0.7908794429072826	0.42984336164286946	6.130199215869847	0.19746893274055585	NaN
