mY	FbR_Y	FbR_U	FbR_W	FbR_C	FbD_Y	FbD_U	FbD_W	FbD_C	NfR_Y	NfR_U	NfR_W	NfR_C	NfD_Y	NfD_U	NfD_W	NfD_C	CoRa(mY)
2.552172430836912e-7	2.5018769343795255e-6	8.203079995700907e-7	9.900959955494457	5.968427876921834e-7	2.6269703812086187e-6	8.613233960750431e-7	9.90095844832363	6.266848291525571e-7	2.5018769343795255e-6	8.203079995700908e-7	9.900959955494457	5.968427876921834e-7	2.626970781098502e-6	8.203079995700908e-7	9.900959955494457	5.968427876921834e-7	0.9999968800119649
2.6116201635675476e-7	2.5601529529451673e-6	8.394154258948877e-7	9.900959253364029	6.107449976800775e-7	2.6881601818563755e-6	8.813861935523763e-7	9.900957711086916	6.412821450248342e-7	2.5601529529451673e-6	8.394154258948877e-7	9.900959253364029	6.107449976800775e-7	2.688160600592426e-6	8.394154258948877e-7	9.900959253364029	6.107449976800775e-7	0.9999968073383528
2.6724526118777903e-7	2.6197863858050548e-6	8.589679212792512e-7	9.900958534878988	6.249710296426413e-7	2.7507752666249018e-6	9.019163135345395e-7	9.900956956677865	6.562194737530168e-7	2.6197863858050548e-6	8.589679212792511e-7	9.900958534878988	6.249710296426413e-7	2.7507757050953076e-6	8.589679212792511e-7	9.900958534878988	6.249710296426413e-7	0.9999967329719633
2.7347020299369397e-7	2.680808850796612e-6	8.789758527098453e-7	9.900957799658393	6.395284262638837e-7	2.814848834201635e-6	9.22924641357166e-7	9.900956184696495	6.715047351450637e-7	2.680808850796612e-6	8.789758527098452e-7	9.900957799658393	6.395284262638837e-7	2.814849293336443e-6	8.789758527098452e-7	9.900957799658393	6.395284262638837e-7	0.9999966568733716
2.798401423210424e-7	2.743252702212314e-6	8.994498286513131e-7	9.900957047312426	6.544249059148421e-7	2.880414856549842e-6	9.444223159077506e-7	9.900955394733497	6.871460334798314e-7	2.743252702212314e-6	8.994498286513129e-7	9.900957047312426	6.544249059148421e-7	2.88041533732293e-6	8.994498286513129e-7	9.900957047312426	6.544249059148421e-7	0.9999965790022296
2.8635845659597147e-7	2.8071510479530107e-6	9.204007046710069e-7	9.90095627744219	6.696683667456365e-7	2.947508096919519e-6	9.66420735531614e-7	9.900954586370032	7.031516618037062e-7	2.8071510479530107e-6	9.204007046710068e-7	9.90095627744219	6.696683667456365e-7	2.9475086003506615e-6	9.204007046710069e-7	9.90095627744219	6.696683667456365e-7	0.9999964993172531
2.9302860191499027e-7	2.8725377670808035e-6	9.418395891947473e-7	9.900955489639502	6.852668908728357e-7	3.0161641282778106e-6	9.889315640754513e-7	9.900953759177503	7.195301063273167e-7	2.8725377670808035e-6	9.418395891947476e-7	9.900955489639502	6.852668908728357e-7	3.016164655434844e-6	9.418395891947476e-7	9.900955489639502	6.852668908728357e-7	0.9999964177761826
2.9985411487743616e-7	2.939447527780693e-6	9.637778493966388e-7	9.900954683486663	7.012287486643413e-7	3.0864193521686435e-6	1.0119667370716342e-6	9.900952912717331	7.362900509246362e-7	2.939447527780693e-6	9.63777849396639e-7	9.900954683486663	7.012287486643414e-7	3.086419904169728e-6	9.63777849396639e-7	9.900954683486665	7.012287486643414e-7	0.999996334335788
3.068386144606288e-7	3.0079158057406114e-6	9.862271172260907e-7	9.900953858556255	7.175624031240794e-7	3.15831101801165e-6	1.0355384680665847e-6	9.900952046540722	7.534403817368824e-7	3.0079158057406114e-6	9.862271172260904e-7	9.900953858556255	7.175624031240793e-7	3.1583115960276425e-6	9.862271172260904e-7	9.900953858556255	7.175624031240793e-7	0.9999962489518379
3.1398580393869736e-7	3.0779789029594786e-6	1.0091992955752068e-6	9.900953014410893	7.342765143787987e-7	3.2318772428505144e-6	1.0596592550965333e-6	9.900951160188429	7.709901918836292e-7	3.0779789029594786e-6	1.0091992955752068e-6	9.900953014410893	7.342765143787987e-7	3.2318778481074525e-6	1.0091992955752068e-6	9.900953014410893	7.342765143787987e-7	0.9999961615790599
3.2129947284610803e-7	3.1496739669933544e-6	1.0327065645898525e-6	9.900952150603013	7.51379944269382e-7	3.30715703156132e-6	1.0843418873141363e-6	9.900950253190507	7.889487862836545e-7	3.1496739669933544e-6	1.0327065645898527e-6	9.900952150603013	7.51379944269382e-7	3.3071576653430224e-6	1.0327065645898527e-6	9.900952150603013	7.51379944269382e-7	0.999996072171121
3.287834989869226e-7	3.2230390106497884e-6	1.056761388127704e-6	9.900951266674625	7.68881761049076e-7	3.384190297531488e-6	1.1095994517694282e-6	9.900949325066067	8.073256865880509e-7	3.2230390106497884e-6	1.0567613881277043e-6	9.900951266674625	7.68881761049076e-7	3.384190961182278e-6	1.0567613881277043e-6	9.900951266674625	7.68881761049076e-7	0.9999959806806167
3.364418504908645e-7	3.2981129321409087e-6	1.0813765203667452e-6	9.900950362157065	7.867912441911576e-7	3.4630178838204e-6	1.135445340348741e-6	9.900948375323017	8.261306362282449e-7	3.2981129321409087e-6	1.0813765203667452e-6	9.900950362157065	7.867912441911576e-7	3.4630185787479546e-6	1.0813765203667452e-6	9.900950362157065	7.867912441911576e-7	0.9999958870590461
3.442785879172707e-7	3.37493553570582e-6	1.1065650125676733e-6	9.90094943657076	8.051178893085553e-7	3.5436815848127736e-6	1.1618932568752312e-6	9.900947403457803	8.453736055815661e-7	3.37493553570582e-6	1.1065650125676733e-6	9.90094943657076	8.051178893085553e-7	3.5436823124911112e-6	1.1065650125676733e-6	9.90094943657076	8.051178893085553e-7	0.9999957912567686
3.522978664080568e-7	3.4535475527133544e-6	1.1323402199938435e-6	9.900948489424964	8.23871413188064e-7	3.6262241683764144e-6	1.1889572243748189e-6	9.900946408955141	8.650647972571381e-7	3.4535475527133544e-6	1.1323402199938435e-6	9.900948489424964	8.23871413188064e-7	3.6262249303490217e-6	1.1323402199938435e-6	9.900948489424964	8.23871413188064e-7	0.9999956932229948
3.605039378908257e-7	3.533990663256252e-6	1.1587158089923795e-6	9.900947520217501	8.430617589417928e-7	3.7106893985359594e-6	1.2166515925113516e-6	9.90094539128775	8.852146515048623e-7	3.533990663256252e-6	1.1587158089923795e-6	9.900947520217501	8.430617589417928e-7	3.710690196419065e-6	1.1587158089923795e-6	9.900947520217501	8.430617589417928e-7	0.9999955929057347
3.689011533332983e-7	3.616307518248319e-6	1.18570576424024e-6	9.900946528434499	8.626991012785992e-7	3.7971220586747335e-6	1.2449910451949736e-6	9.900944349916063	9.05833851750387e-7	3.616307518248319e-6	1.18570576424024e-6	9.900946528434499	8.626991012785992e-7	3.797122894160735e-6	1.18570576424024e-6	9.900946528434499	8.626991012785992e-7	0.999995490251811
3.7749396505025193e-7	3.700541762036174e-6	1.213324396159052e-6	9.900945513550115	8.827938518982853e-7	3.8855679752769265e-6	1.273990608367701e-6	9.900943284287944	9.269333302589728e-7	3.700541762036174e-6	1.213324396159052e-6	9.900945513550115	8.827938518982853e-7	3.8855688501379825e-6	1.213324396159052e-6	9.900945513550115	8.827938518982853e-7	0.9999953852067847
3.8628692906419893e-7	3.7867380555376632e-6	1.2415863485026716e-6	9.900944475026257	9.03356665011431e-7	3.976074042222762e-6	1.3036656579703581e-6	9.900942193838404	9.485242739312774e-7	3.7867380555376632e-6	1.2415863485026718e-6	9.900944475026257	9.03356665011431e-7	3.976074958314547e-6	1.2415863485026718e-6	9.900944475026257	9.03356665011431e-7	0.9999952777149773
3.9528470752104735e-7	3.8749420999191174e-6	1.2705066061214683e-6	9.900943412312301	9.243984429877726e-7	4.06868824564943e-6	1.3340319280950717e-6	9.900941077989284	9.70618130234108e-7	3.8749420999191174e-6	1.2705066061214683e-6	9.900943412312301	9.243984429877727e-7	4.068689204915073e-6	1.2705066061214683e-6	9.900943412312301	9.243984429877727e-7	0.9999951677193928
4.0449207116203506e-7	3.965200660824087e-6	1.3001005029074723e-6	9.9009423248448	9.459303421361405e-7	4.163459689391083e-6	1.3651055193276786e-6	9.90093993614897	9.932266132693115e-7	3.965200660824087e-6	1.3001005029074721e-6	9.9009423248448	9.459303421361406e-7	4.163460693865291e-6	1.3001005029074721e-6	9.9009423248448	9.459303421361406e-7	0.9999950551617092
4.139139018532388e-7	4.057561593166321e-6	1.330383729924583e-6	9.900941212047181	9.67963778619e-7	4.2604386210112665e-6	1.3969029072844402e-6	9.900938767712054	1.0163617099839942e-6	4.057561593166321e-6	1.330383729924583e-6	9.900941212047181	9.67963778619e-7	4.260439672824636e-6	1.330383729924583e-6	9.900941212047181	9.67963778619e-7	0.9999949399822426
4.235551951740029e-7	4.152073866500157e-6	1.3613723437281472e-6	9.900940073329442	9.905104345047351e-7	4.359676458441624e-6	1.4294409513475988e-6	9.900937572059041	1.040035686525372e-6	4.152073866500157e-6	1.3613723437281472e-6	9.900940073329442	9.905104345047351e-7	4.3596775598251655e-6	1.3613723437281472e-6	9.900940073329442	9.905104345047351e-7	0.9999948221199274
4.334210630656645e-7	4.248787590981813e-6	1.3930827748783408e-6	9.900938908087838	1.0135822639609005e-6	4.46122581724104e-6	1.4627369036044255e-6	9.900936348555998	1.0642610947436293e-6	4.248787590981813e-6	1.3930827748783408e-6	9.900938908087838	1.0135822639609005e-6	4.461226970530902e-6	1.3930827748783408e-6	9.900938908087838	1.0135822639609005e-6	0.999994701512276
4.4351673654196906e-7	4.347754043935232e-6	1.4255318366518306e-6	9.900937715704561	1.0371914995916891e-6	4.5651405384895605e-6	1.4968084179944645e-6	9.90093509655423	1.0890507788462086e-6	4.347754043935232e-6	1.4255318366518306e-6	9.900937715704561	1.0371914995916891e-6	4.565141746131994e-6	1.4255318366518306e-6	9.900937715704561	1.0371914995916891e-6	0.9999945780953484
4.5384756846262665e-7	4.449025697036707e-6	1.4587367339563799e-6	9.900936495547414	1.061350658923013e-6	4.671475717332003e-6	1.5316735596698648e-6	9.90093381538993	1.1144178822070864e-6	4.449025697036707e-6	1.4587367339563799e-6	9.900936495547414	1.061350658923013e-6	4.671476981888542e-6	1.4587367339563799e-6	9.900936495547414	1.061350658923013e-6	0.9999944518037058
4.644190363714654e-7	4.552656244132516e-6	1.4927150724530734e-6	9.900935246969478	1.0860725510385973e-6	4.780287732186241e-6	1.5673508145737178e-6	9.900932504383833	1.140375854334612e-6	4.552656244132516e-6	1.4927150724530734e-6	9.900935246969478	1.0860725510385973e-6	4.780289056339143e-6	1.4927150724530734e-6	9.900935246969478	1.0860725510385973e-6	0.9999943225703831
4.7523674540070144e-7	4.658700629704499e-6	1.527484867891055e-6	9.90093396930876	1.1113702833706385e-6	4.891634274631794e-6	1.603859099241525e-6	9.90093116284085	1.1669384580016366e-6	4.6587006296404675e-6	1.5274848678910552e-6	9.900933969308758	1.1113702833706385e-6	4.891635661189723e-6	1.527484867891055e-6	9.90093396930876	1.1113702833706385e-6	0.999994190045162
4.863064312428504e-7	4.767215077998471e-6	1.563064555659668e-6	9.90093266188785	1.1372572686485908e-6	5.005574379994406e-6	1.6412177708309486e-6	9.900929790049704	1.1941197765416745e-6	4.76721507799847e-6	1.5630645556596678e-6	9.900932661887849	1.1372572686485906e-6	5.0055758318983946e-6	1.5630645556596678e-6	9.900932661887849	1.1372572686485906e-6	0.9999940550030354
4.976339631918715e-7	4.878257122831101e-6	1.5994730005631234e-6	9.90093132401356	1.1637472320098023e-6	5.122168458642972e-6	1.6794466373852059e-6	9.900928385282546	1.221934221314999e-6	4.878257122831101e-6	1.5994730005631232e-6	9.90093132401356	1.163747232009802e-6	5.1221699789726556e-6	1.5994730005631232e-6	9.90093132401356	1.163747232009802e-6	0.9999939165271575
5.092253472551405e-7	4.991885638090853e-6	1.6367295068228163e-6	9.900929954976561	1.1908542182757226e-6	5.241478328015246e-6	1.7185659683355008e-6	9.900926947794582	1.2503965393485926e-6	4.991885638090853e-6	1.6367295068228165e-6	9.900929954976561	1.1908542182757228e-6	5.241479919995396e-6	1.6367295068228165e-6	9.900929954976561	1.1908542182757228e-6	0.9999937748258023
5.210867293379191e-7	5.108160868949352e-6	1.674853828312658e-6	9.900928554050996	1.218592599397591e-6	5.363567245389454e-6	1.7585965052481198e-6	9.900925476823668	1.27952182115404e-6	5.108160868949352e-6	1.674853828312658e-6	9.900928554050996	1.218592599397591e-6	5.363568912396821e-6	1.674853828312658e-6	9.900928554050996	1.218592599397591e-6	0.9999936298238438
5.332243985019905e-7	5.227144463799518e-6	1.7138661790327849e-6	9.900927120494103	1.2469770820754924e-6	5.488499941419022e-6	1.7995594728218232e-6	9.9009239715899	1.30932550872746e-6	5.227144463799518e-6	1.7138661790327849e-6	9.900927120494103	1.2469770820754924e-6	5.488501686989494e-6	1.7138661790327849e-6	9.900927120494103	1.2469770820754924e-6	0.999993481444395
